ns,bytes
12614406,109066
10698322,109066
10103414,109066
9857135,109066
10010630,109066
9934923,109066
10252604,109066
9883659,109066
9976183,109066
9925306,109066
9849379,109066
9659865,109066
10004743,109066
10996990,109066
10308230,109066
10914831,109066
11271709,109066
10016265,109066
10079051,109066
10172405,109066
9978049,109066
11048437,109066
10359514,109066
10200026,109066
10025795,109066
10610606,109066
10172215,109066
17486884,109066
9701745,109066
9867708,109066
12175546,109066
9990458,109066
10816336,109066
10822954,109066
10259305,109066
9969589,109066
10056257,109066
10096843,109066
10139903,109066
9946430,109066
10085022,109066
10122711,109066
9733818,109066
10052111,109066
9622618,109066
9847727,109066
10003418,109066
9991457,109066
9672620,109066
10707314,109066
10969014,109066
10091566,109066
10047434,109066
10407424,109066
11049794,109066
9899801,109066
9901323,109066
9980459,109066
9772140,109066
16591582,109066
9655889,109066
9967665,109066
10324732,109066
9996958,109066
11003698,109066
11320649,109066
10686773,109066
9483119,109066
9845744,109066
9872736,109066
10111334,109066
9622006,109066
9626527,109066
10533722,109066
9955942,109066
9580415,109066
10205951,109066
9602776,109066
9623604,109066
10800353,109066
10922732,109066
10424502,109066
9933992,109066
9758939,109066
10415811,109066
9846680,109066
9944088,109066
9779834,109066
9841421,109066
9671504,109066
10106487,109066
20337240,109066
10024426,109066
9689652,109066
10073648,109066
9608866,109066
9512388,109066
9709036,109066
9605718,109066
9898907,109066
45072419,1114298
40710190,1114298
42237983,1114298
43937390,1114298
42194468,1114298
40897344,1114298
42411018,1114298
42366431,1114298
45807566,1114298
44252719,1114298
40617381,1114298
41973159,1114298
41832071,1114298
42405907,1114298
42323299,1114298
41662063,1114298
45466707,1114298
41978216,1114298
41644121,1114298
42573769,1114298
43459599,1114298
42184712,1114298
40775644,1114298
47219881,1114298
41844225,1114298
42214469,1114298
43866693,1114298
42666893,1114298
42870716,1114298
40931808,1114298
41575048,1114298
42827302,1114298
41774718,1114298
48496740,1114298
42391437,1114298
42758891,1114298
44761295,1114298
42790218,1114298
42510477,1114298
42992344,1114298
42524386,1114298
42334946,1114298
40158392,1114298
41259805,1114298
42531285,1114298
43613991,1114298
58911579,1114298
62664638,1114298
41592704,1114298
43774033,1114298
43170665,1114298
47790620,1114298
41999796,1114298
42581067,1114298
43374529,1114298
46672323,1114298
45855985,1114298
40565107,1114298
42469903,1114298
40871375,1114298
42317697,1114298
42538959,1114298
41933178,1114298
43266988,1114298
41130069,1114298
42164443,1114298
41846303,1114298
40561225,1114298
41308371,1114298
42002418,1114298
41549451,1114298
40104200,1114298
42472928,1114298
42887348,1114298
47889462,1114298
40789619,1114298
44286964,1114298
43755049,1114298
42448929,1114298
42455006,1114298
42887244,1114298
44181423,1114298
41839457,1114298
45696158,1114298
42679978,1114298
42235836,1114298
48548641,1114298
41654157,1114298
40790065,1114298
41583024,1114298
42601962,1114298
41942201,1114298
41882164,1114298
43085932,1114298
43715669,1114298
42199815,1114298
42406353,1114298
41986384,1114298
43131179,1114298
42578285,1114298
106702673,3254494
110028432,3254494
110519967,3254494
109677309,3254494
111355913,3254494
110671571,3254494
111099659,3254494
112109346,3254494
110224244,3254494
110944307,3254494
109776251,3254494
109380918,3254494
106867953,3254494
111040399,3254494
113914508,3254494
110690447,3254494
111358617,3254494
113516023,3254494
109666861,3254494
111264413,3254494
110872723,3254494
112217265,3254494
110926765,3254494
113444651,3254494
109150340,3254494
113210433,3254494
112085457,3254494
112595585,3254494
109405858,3254494
112680898,3254494
109382748,3254494
111516797,3254494
110303648,3254494
110596015,3254494
110806439,3254494
111399110,3254494
110632283,3254494
110408411,3254494
111922589,3254494
113475133,3254494
113093738,3254494
110638270,3254494
108172077,3254494
111301202,3254494
110075140,3254494
112424761,3254494
110688503,3254494
106725909,3254494
111530762,3254494
113505212,3254494
112211510,3254494
114849178,3254494
106519965,3254494
111266008,3254494
111210263,3254494
120047028,3254494
108036161,3254494
110323509,3254494
116532211,3254494
108700121,3254494
108631101,3254494
107807726,3254494
109385955,3254494
107248026,3254494
111533586,3254494
113011965,3254494
111518219,3254494
110079601,3254494
110019963,3254494
109121947,3254494
112455215,3254494
118542344,3254494
110737927,3254494
110122607,3254494
110219412,3254494
110537522,3254494
108302499,3254494
108119310,3254494
108588235,3254494
108299121,3254494
105098176,3254494
111120868,3254494
109226340,3254494
110843740,3254494
109319946,3254494
107924225,3254494
110623544,3254494
109371211,3254494
110195599,3254494
107247399,3254494
108890691,3254494
108866637,3254494
109258452,3254494
108093340,3254494
106082349,3254494
110877716,3254494
108383804,3254494
106931586,3254494
111815888,3254494
113142140,3254494
198912402,6323973
197149242,6323973
194700377,6323973
201120329,6323973
202099097,6323973
191779114,6323973
195894739,6323973
199604853,6323973
196085322,6323973
193923800,6323973
199633589,6323973
191393934,6323973
197114808,6323973
196685852,6323973
197850275,6323973
197610339,6323973
192782994,6323973
190843778,6323973
202422597,6323973
199017534,6323973
191061197,6323973
187165666,6323973
196481974,6323973
190815865,6323973
200752756,6323973
193150798,6323973
198616623,6323973
192135666,6323973
198977176,6323973
199315973,6323973
199585231,6323973
198900417,6323973
191418262,6323973
199517570,6323973
199770724,6323973
199581092,6323973
197097585,6323973
198501469,6323973
191305885,6323973
199283505,6323973
193672907,6323973
195673899,6323973
199627217,6323973
200818721,6323973
199772632,6323973
198006836,6323973
202542938,6323973
198146360,6323973
200368202,6323973
200743382,6323973
186284709,6323973
192828407,6323973
201648300,6323973
191985327,6323973
197075463,6323973
191785080,6323973
197223761,6323973
198523825,6323973
189565579,6323973
199634028,6323973
193572710,6323973
193069158,6323973
192095793,6323973
198902902,6323973
191606715,6323973
192705197,6323973
197674013,6323973
195517915,6323973
199492060,6323973
200545972,6323973
191931335,6323973
191562908,6323973
199968282,6323973
199565755,6323973
200402253,6323973
196462063,6323973
197824376,6323973
190629835,6323973
201074543,6323973
190153768,6323973
200454424,6323973
191654129,6323973
194665126,6323973
191807969,6323973
191609036,6323973
198922846,6323973
199604031,6323973
193995730,6323973
197254507,6323973
199786731,6323973
199108084,6323973
193632069,6323973
199109641,6323973
198480307,6323973
191993225,6323973
191830140,6323973
198830751,6323973
199849877,6323973
198949281,6323973
198711456,6323973
242623000,8424862
241654999,8424862
247917255,8424862
237806742,8424862
240660769,8424862
241836823,8424862
242618679,8424862
247891643,8424862
248497506,8424862
242919468,8424862
248204168,8424862
247905483,8424862
247965933,8424862
244032788,8424862
250408426,8424862
238964616,8424862
246267826,8424862
238891835,8424862
248621672,8424862
238948574,8424862
239775018,8424862
240641374,8424862
247504200,8424862
248529430,8424862
241236787,8424862
241309582,8424862
241607060,8424862
247598562,8424862
252115261,8424862
239680733,8424862
249991387,8424862
247928927,8424862
247915341,8424862
244730244,8424862
248837011,8424862
239827249,8424862
247053130,8424862
238168670,8424862
247292940,8424862
249110612,8424862
248396857,8424862
240677850,8424862
239277996,8424862
241565180,8424862
239282633,8424862
250172772,8424862
246205536,8424862
249516709,8424862
241099327,8424862
244270625,8424862
239429412,8424862
246606847,8424862
249583807,8424862
245492133,8424862
249702956,8424862
239258501,8424862
248081101,8424862
250582389,8424862
244100146,8424862
248746920,8424862
249208444,8424862
250298217,8424862
249311737,8424862
245035480,8424862
246043571,8424862
241395397,8424862
247331444,8424862
240893522,8424862
241145465,8424862
239087131,8424862
248696977,8424862
246352161,8424862
249290007,8424862
242156804,8424862
243106166,8424862
248439169,8424862
239417270,8424862
240301694,8424862
246629862,8424862
248340998,8424862
239386852,8424862
236266771,8424862
248737263,8424862
247175558,8424862
241634656,8424862
239976712,8424862
240265558,8424862
246357589,8424862
246494468,8424862
246608745,8424862
242818427,8424862
248863771,8424862
237681113,8424862
238592627,8424862
239954595,8424862
246012580,8424862
247477624,8424862
235992363,8424862
249001233,8424862
238147937,8424862
478373570,15751188
460768922,15751188
448337099,15751188
473151288,15751188
461580202,15751188
460792582,15751188
466917640,15751188
454241201,15751188
476305628,15751188
457715359,15751188
461521173,15751188
496964126,15751188
477627804,15751188
466373731,15751188
451385889,15751188
490141021,15751188
461587630,15751188
472043376,15751188
455345111,15751188
491415608,15751188
476023731,15751188
492236791,15751188
498919315,15751188
478658750,15751188
481080977,15751188
469418873,15751188
454244419,15751188
468393729,15751188
452506750,15751188
469611883,15751188
482206049,15751188
497682221,15751188
452701930,15751188
455294162,15751188
465883523,15751188
473114561,15751188
469898305,15751188
466251755,15751188
468434157,15751188
474187959,15751188
462907980,15751188
472722786,15751188
459331213,15751188
474940541,15751188
467609634,15751188
463998010,15751188
451083212,15751188
469569690,15751188
455551798,15751188
469341256,15751188
473952125,15751188
465576011,15751188
452264322,15751188
461011505,15751188
466444463,15751188
459792094,15751188
471366022,15751188
462413022,15751188
457711878,15751188
457358657,15751188
474778518,15751188
464047180,15751188
460163648,15751188
461245119,15751188
477846591,15751188
